County,Year,# Days Monitored,# Days Standard Not Met,% Days Standard Not Met
Skagit,2015,362,11,3
Skagit,2016,366,7,1.9
Skamania,2010,--,--,--
Skamania,2011,--,--,--
Skamania,2012,--,--,--
Skamania,2013,--,--,--
Skamania,2014,--,--,--
Skamania,2015,--,--,--
Skamania,2016,--,--,--
Snohomish,2010,0,--,--
Snohomish,2011,365,87,23.8
Snohomish,2012,316,20,6.3
Snohomish,2013,316,20,6.3
Snohomish,2014,350,65,18.6
Snohomish,2015,184,24,13
Snohomish,2016,212,11,5.2
Spokane,2010,365,16,4.4
Spokane,2011,364,27,7.4
Spokane,2012,364,27,7.4
Spokane,2013,364,27,7.4
Spokane,2014,345,19,5.5
Spokane,2015,337,33,9.8
Spokane,2016,366,10,2.7
Stevens,2010,365,44,12
Stevens,2011,363,51,14
Stevens,2012,365,38,10.4
Stevens,2013,365,38,10.4
Stevens,2014,365,31,8.5
Stevens,2015,362,41,11.3
Stevens,2016,363,33,9.1
Thurston,2010,281,12,4.3
Thurston,2011,361,30,8.3
Thurston,2012,364,60,16.5
Thurston,2013,364,60,16.5
Thurston,2014,318,30,9.4
Thurston,2015,314,23,7.3
Thurston,2016,343,17,5
Wahkiakum,2010,--,--,--
Wahkiakum,2011,--,--,--
Wahkiakum,2012,--,--,--
Wahkiakum,2013,--,--,--
Wahkiakum,2014,--,--,--
Wahkiakum,2015,--,--,--
Wahkiakum,2016,--,--,--
Walla Walla,2010,365,2,0.6
Walla Walla,2011,363,10,2.8
Walla Walla,2012,350,12,3.4
Walla Walla,2013,350,12,3.4
Walla Walla,2014,319,3,0.9
Walla Walla,2015,362,18,5
Walla Walla,2016,0,--,--
Whatcom,2010,346,1,0.3
Whatcom,2011,349,2,0.6
Whatcom,2012,333,9,2.7
Whatcom,2013,333,9,2.7
Whatcom,2014,327,12,3.7
Whatcom,2015,305,8,2.6
Whatcom,2016,319,4,1.2
Whitman,2010,365,4,1.1
Whitman,2011,363,2,0.6
Whitman,2012,365,2,0.6
Whitman,2013,365,2,0.6
Whitman,2014,363,9,2.5
Whitman,2015,362,24,6.6
Whitman,2016,366,9,2.5
Yakima,2010,365,28,7.7
Yakima,2011,364,56,15.4
Yakima,2012,365,87,23.8
Yakima,2013,365,87,23.8
Yakima,2014,365,43,11.8
Yakima,2015,363,79,21.8
Yakima,2016,366,46,12.6
