Year,County,Days Monitored,#  Days Standard Not Met,% Days Standard Not Met,Affected person days  (x1000)
2014,King,365,36,9.9,72621
2014,Kitsap,362,2,0.6,516
2014,Kittitas,323,11,3.4,523
2014,Klickitat,0,--,--,--
2014,Lewis,365,5,1.4,382
2014,Lincoln,--,--,--,--
2014,Mason,365,10,2.7,620
2014,Okanogan,356,71,19.9,3036
2014,Pacific,--,--,--,--
2014,Pend Oreille,--,--,--,--
2014,Pierce,365,38,10.4,31209
2014,San Juan,--,--,--,--
2014,Skagit,365,2,0.6,239
2014,Skamania,--,--,--,--
2014,Snohomish,350,65,18.6,50229
2014,Spokane,345,19,5.5,9739
2014,Stevens,365,31,8.5,1361
2014,Thurston,318,30,9.4,9091
2014,Wahkiakum,--,--,--,--
2014,Walla Walla,319,3,0.9,206
2014,Whatcom,327,12,3.7,2781
2014,Whitman,363,9,2.5,421
2014,Yakima,365,43,11.8,10698
2015,State Total,--,--,--,--
2015,Adams,356,19,5.3,378
2015,Asotin,0,--,--,--
2015,Benton,356,9,2.5,1740
2015,Chelan,362,23,6.4,1740
2015,Clallam,363,32,8.8,2338
2015,Clark,330,37,11.2,18490
2015,Columbia,362,2,0.6,8
2015,Cowlitz,362,13,3.6,1367
2015,Douglas,--,--,--,--
2015,Ferry,--,--,--,--
2015,Franklin,359,12,3.3,1063
2015,Garfield,--,--,--,--
2015,Grant,360,12,3.3,1143
2015,Grays Harbor,343,7,2,545
2015,Island,--,--,--,--
2015,Jefferson,308,3,1,110
2015,King,363,51,14,105270
2015,Kitsap,358,5,1.4,1316
2015,Kittitas,347,29,8.4,1302
2015,Klickitat,0,--,--,--
2015,Lewis,361,7,1.9,543
2015,Lincoln,--,--,--,--
2015,Mason,362,7,1.9,439
2015,Okanogan,363,70,19.3,2946
2015,Pacific,--,--,--,--
2015,Pend Oreille,--,--,--,--
2015,Pierce,365,37,10.1,30714
2015,San Juan,--,--,--,--
2015,Skagit,362,11,3,1338
