County,Year,Annual Average (µg/m³)
Spokane,2010,8.6
Spokane,2011,9.1
Spokane,2012,9.1
Spokane,2013,9.8
Spokane,2014,8.8
Spokane,2015,10.2
Spokane,2016,7.9
Spokane,2017,11.4
Spokane,2018,10.8
Stevens,2010,9.2
Stevens,2011,9.1
Stevens,2012,8.8
Stevens,2013,9.4
Stevens,2014,9.1
Stevens,2015,9.3
Stevens,2016,8.1
Stevens,2017,12.2
Stevens,2018,11.9
Thurston,2010,4.3
Thurston,2011,5.2
Thurston,2012,7.4
Thurston,2013,8.2
Thurston,2014,6.6
Thurston,2015,6
Thurston,2016,5.6
Thurston,2017,6.6
Thurston,2018,6
Wahkiakum,2010,--
Wahkiakum,2011,--
Wahkiakum,2012,--
Wahkiakum,2013,--
Wahkiakum,2014,--
Wahkiakum,2015,--
Wahkiakum,2016,--
Wahkiakum,2017,--
Wahkiakum,2018,--
Walla Walla,2010,6.5
Walla Walla,2011,5.7
Walla Walla,2012,5.8
Walla Walla,2013,6.6
Walla Walla,2014,4.7
Walla Walla,2015,6.4
Walla Walla,2016,--
Walla Walla,2017,8.3
Walla Walla,2018,7.2
Whatcom,2010,6
Whatcom,2011,5.3
Whatcom,2012,4.3
Whatcom,2013,6.7
Whatcom,2014,7.8
Whatcom,2015,6.5
Whatcom,2016,4.9
Whatcom,2017,5.3
Whatcom,2018,5.3
Whitman,2010,5.1
Whitman,2011,5.4
Whitman,2012,6.6
Whitman,2013,6.4
Whitman,2014,5.7
Whitman,2015,7
Whitman,2016,4.6
Whitman,2017,7.6
Whitman,2018,6.5
Yakima,2010,9.1
Yakima,2011,10.2
Yakima,2012,11.7
Yakima,2013,12.8
Yakima,2014,10.1
Yakima,2015,13.3
Yakima,2016,11.6
Yakima,2017,15
Yakima,2018,13.4
